year,variable,std,lon,lat,ENSOMIEV29,ENSOMIEV30,ENSOMIEV31,ENSOMIEV32,ensomiev1,ensomiev2,ensomiev3,ensomiev4,ensomiev5,ensomiev6,ensomiev7,ensomiev8,ensomiev9,ensomievG,PDO9,PDO10,PDO11,PDO12,pdo1,pdo2,pdo3,pdo4,pdo5,pdo6,pdo7,pdo8,pdo9,pdoG,NAO9,NAO10,NAO11,NAO12,Nao1,Nao2,Nao3,Nao4,Nao5,Nao6,Nao7,Nao8,Nao9,GNAO,AO9,AO10,AO11,AO12,Ao1,Ao2,Ao3,Ao4,Ao5,Ao6,Ao7,Ao8,Ao9,GAO,HAIBING9,HAIBING10,HAIBING11,HAIBING12,haibing1,haibing2,haibing3,haibing4,haibing5,haibing6,haibing7,haibing8,haibing9,Ghaibing
1969,X1001,0.899,105.2,35.6,-2.014,1.688,0.413,-0.391,1.762,-1.882,-2.203,0.345,-0.124,-0.139,-1.641,0.661,1.833,-0.130153846,-0.573,-0.246,-2.492,1.011,-0.184,0.459,-2.291,1.429,-0.007,2.825,0.079,-0.482,-1.091,-0.120230769,-0.865,0.295,-1.335,0.217,-1.216,-0.563,-0.895,0.221,-0.398,0.007,-0.54,-0.678,0.719,-0.387,-0.294,-1.603,0.034,0.548,0.12,1.305,-0.955,0.475,-0.838,0.782,1.551,-0.031,0.163,0.096692308,0.257,0.537,-1.086,-0.811,0.489,-0.467,-0.965,-0.817,-0.897,-0.096,-0.578,0.263,-1.25,-0.417
1970,X1001,1.002,105.2,35.6,0.212,-0.016,1.593,0.857,0.426,1.375,-0.764,-0.005,0.107,-2.136,0.483,0.906,-0.611,0.186692308,1.536,-1.598,0.993,-2.306,0.839,-0.317,-1.652,0.215,-1.073,-0.113,-0.644,0.66,0.412,-0.234461538,1.634,-0.268,-0.608,0.029,-1.17,-1.097,-2.159,1.825,-0.631,0.731,1.106,-0.974,1.737,0.011923077,1.361,0.655,0.089,-1.615,0.342,-0.489,0.575,-0.326,-0.082,-0.753,0.366,1.321,-0.909,0.041153846,1.282,-0.898,0.192,-0.173,-0.353,0.173,-1.556,1.039,-0.92,-0.698,-1.988,1.466,-0.655,-0.237615385
1971,X1001,1.353,105.2,35.6,1.237,1.075,-0.414,-1.104,-0.014,1.399,0.162,0.406,-0.949,-0.031,1.57,1.484,-0.819,0.307846154,-0.748,-1.881,-0.168,-1.051,-0.015,1.762,-1.571,0.168,0.38,1.329,1.6,-1.818,0.373,-0.126153846,-2.046,1.217,1.664,0.2,0.026,-0.766,-0.12,-0.412,0.056,1.317,0.587,1.262,0.259,0.249538462,0.684,0.745,-0.017,0.969,-1.244,-0.608,-0.555,2.024,-1.895,1.023,-0.394,-0.169,-1.344,-0.060076923,1.552,0.332,0.272,-0.736,0.814,-0.984,0.17,-1.05,1.408,-0.079,-0.35,-0.304,0.721,0.135846154
1972,X1001,1.092,105.2,35.6,2.038,-2.602,-0.212,1.161,-0.308,-1.143,-0.652,1.714,1.317,-0.593,-0.408,0.329,0.048,0.053,-0.019,-0.218,-1.127,0.148,-0.764,-1.857,-0.18,0.441,3.276,0.693,-1.161,-0.279,0.99,-0.004384615,0.257,0.371,-1.57,-0.941,1.002,0.841,-0.1,0.845,1.422,0.617,1.862,-0.782,-0.521,0.254076923,0.408,0.522,-1.468,0.572,1.486,0.34,-0.055,-0.311,-0.121,-0.491,0.105,-1.011,0.255,0.017769231,2.056,-0.482,0.064,0.004,-0.085,0.091,0.046,0.346,0.728,-0.965,0.326,1.11,0.782,0.309307692
1973,X1001,1.084,105.2,35.6,1.301,-0.453,-0.037,0.398,0.414,0.472,-0.559,-0.06,0.723,2.236,0.388,-0.128,1.301,0.461230769,0.388,0.355,0.837,-0.511,-1.42,-0.063,-1.066,1.083,0.02,0.07,-0.189,0.068,-1.003,-0.110076923,0.04,-2.001,1.769,-0.683,1.417,1.881,0.455,0.724,1.337,0.994,0.625,0.152,-1.15,0.427692308,1.409,0.235,1.808,0.498,0.109,1.387,0.644,1.519,0.175,0.975,0.051,-0.878,1.138,0.697692308,1.053,-1.333,1.535,-1.202,-0.451,-0.418,0.569,0.008,-0.488,-0.334,-0.633,0.239,-0.397,-0.142461538
1974,X1001,1.331,105.2,35.6,0.757,-0.675,0.365,0.362,0.989,-1.034,0.333,-0.281,-2.329,-2.918,-0.558,-0.661,-0.343,-0.461,2.323,-1.319,-0.98,-2.668,0.093,-0.208,0.389,0.167,-0.416,-0.053,-0.727,-1.351,0.351,-0.338384615,0.444,0.032,-0.491,0.602,-1.108,0.643,1.37,0.223,-1.357,1.475,-0.033,-0.638,-0.336,0.063538462,1.681,-0.884,0.16,-0.156,1.01,-0.859,0.23,0.756,0.929,-1.576,0.178,-0.362,0.289,0.107384615,1.54,-0.075,-0.796,-0.086,-0.274,2.663,0.063,0.36,0.721,-0.708,-1.162,-0.911,-0.042,0.099461538
1975,X1001,1.06,105.2,35.6,-1.727,-1.223,0.665,-0.853,-0.184,-0.125,-1.059,0.485,-0.645,1.488,-0.022,0.254,-1.026,-0.305538462,0.615,-1.808,0.344,-0.835,-0.427,-0.131,0.035,-0.389,-0.515,-0.997,0.856,0.919,-0.449,-0.214,0.841,-0.05,-1.567,-2.641,0.104,-1.175,0.911,1.3,-0.489,0.339,-1.283,1.183,1.579,-0.072923077,0.327,0.404,-0.35,0.972,1.795,1.294,-0.642,-0.025,1.24,-1.354,0.281,-1.589,-0.796,0.119769231,-0.309,-1.474,2.029,1.012,2.378,0.486,-1.832,-0.577,1.177,-0.197,0.341,1.598,0.902,0.425692308
1976,X1001,0.712,105.2,35.6,-0.602,1.547,1.318,1.954,0.164,0.929,-0.086,-0.049,-0.234,1.008,0.816,-0.064,0.071,0.520923077,1.732,1.276,0.186,1.614,0.392,0.121,-0.498,-1.054,-0.361,0.991,1.116,0.273,0.655,0.495615385,-1.361,-1.017,-1.137,1.219,0.13,-0.707,-0.768,-0.142,1.744,-0.044,0.855,0.687,-1.46,-0.153923077,0.085,0.77,-1.001,1.677,-1.219,-0.205,-0.625,-0.878,-1.694,-0.579,0.867,-0.698,-1.053,-0.350230769,1.526,-0.409,0.743,0.426,0.452,1.418,-0.164,0.562,-2.39,-0.467,1.493,-0.256,-0.812,0.163230769
1977,X1001,0.797,105.2,35.6,-0.352,-1.415,-0.095,-0.164,0.217,0.868,0.498,0.628,-1.108,0.735,-0.914,-0.325,-2.018,-0.265,-0.729,0.507,0.141,-1.209,0.282,1.862,-1.605,0.014,0.169,1.037,-2.461,-0.095,1.14,-0.072846154,0.799,-0.369,0.35,0.279,-0.11,2.109,0.566,-0.163,1.552,0.528,-0.833,0.099,-1.006,0.292384615,-0.251,0.198,0.931,-1.653,-1.128,-0.297,1.666,1.501,1.605,-0.861,-0.007,0.353,-1.557,0.038461538,-0.989,0.225,0.108,-0.145,1.845,-0.677,1.505,0.479,-0.23,-0.211,-1.828,-0.328,-0.394,-0.049230769
1978,X1001,0.847,105.2,35.6,0.704,0.318,0.196,-1.825,0.729,-0.849,1.634,-0.224,-0.273,0.147,-0.555,-0.677,-1.475,-0.165384615,-1.745,0.482,-1.852,0.167,1.298,-2.075,-0.671,-0.015,-0.872,-0.502,-0.58,0.178,0.846,-0.410846154,0.402,1.716,-0.287,-1.513,-1.24,-0.462,0.076,0.132,-1.02,0.47,1.309,1.474,0.314,0.105461538,0.099,2.128,0.192,0.258,0.792,1.076,-0.546,-0.887,-0.475,0.973,0.464,-1.08,0.452,0.265076923,1.809,-1.088,-0.987,2.646,-0.617,0.058,-0.045,0.06,-0.622,0.52,-0.519,0.739,1.232,0.245076923
