year,variable,lon,lat,TG,PG,t1,t2,t3,t4,t5,t6,t7,t8,t9,p1,p2,p3,p4,p5,p6,p7,p8,p9,SPEI1,SPEI2,SPEI3,SPEI4,SPEI5,SPEI6,SPEI7,SPEI8,SPEI9,SPEIG
1969,X1001,105.2,35.6,12.355747758679774,470.89381786334343,2.582130557121368,3.1507119875453005,7.892867557104945,13.676896988357495,15.414404363965316,21.012617655594834,24.368496765644203,21.662355436867696,16.81263883738213,51.374445628780364,67.23543157939216,45.93251535130276,47.88171572168862,47.978022561964096,74.38083614540383,74.18939620788714,62.36207429693805,56.18339930989783,0.7373685758962422,1.490732028150799,-0.9358338684023914,1.1758290447821034,-1.2538806677490124,-0.6377515024534103,0.9071051958003012,-1.428680700225969,-0.1400687201886661,-0.009464512710000369
1970,X1001,105.2,35.6,12.480298041656125,420.7752251787761,0.2414267572875457,3.0630715580482475,7.920396253977791,13.222267987062992,17.341389495423954,21.482574774373575,24.030876210537954,21.776668967248884,17.70719990070196,38.69913761698564,29.476107856435718,42.843804860090785,52.49086142169237,50.138693307639805,46.63449785285359,70.67645545701905,50.88192440072958,56.54016285701526,2.2381433384979528,-1.2940853231612488,-1.0387882102049535,1.7437122251229307,-0.7980627352410625,0.02968323030333022,1.0693159694243486,0.8907063912931708,1.7548861819811095,0.5106123408906197
1971,X1001,105.2,35.6,13.458257654813387,473.77570678822946,2.840090683415634,6.094147789047962,9.709675250418881,12.397245286861022,19.59209689199487,23.10404688247624,24.494649719318264,23.271784006025857,17.499616739052758,54.63698593427849,57.32613639314861,44.330195356259374,64.26378568968745,41.669714733861824,31.410741698267746,63.03901610761917,48.608084817671084,51.38144934556201,-0.8375167228250533,-1.6059627607174027,1.2552373747242185,-0.6888689838469215,1.6609524881479396,0.8073081862107286,-0.31475814671745994,-1.0859024011268665,-0.732461986720457,-0.17133032809680826
1972,X1001,105.2,35.6,12.409990747561931,514.4845343835274,2.541543731745791,5.3301551815992365,7.396109108353749,12.554818851239535,18.352280298608793,21.141982138015518,24.234882314699323,21.54233641795732,16.319213511867062,60.95895438561774,53.37318391911086,63.58549515755469,37.38606894963189,64.28759461954155,83.14798753752953,56.91868845052157,57.50636955393479,58.96044311122317,-1.8619757107917871,0.4261466396903099,-1.6054097440159647,-0.42767959812380435,1.242869549603737,-0.7352169561000764,0.5012489895674,1.0127390539563705,0.2787408560959998,-0.1298374355686461
1973,X1001,105.2,35.6,12.381620611962157,417.70098898594347,3.9491496858727864,2.7615840015641804,8.160991800869217,11.93993415477167,17.478218502439866,21.98019310571194,24.668573386379798,22.16543469835483,18.03149367594361,51.40862244708989,51.154693977156164,40.771981683173436,36.43800631067916,35.41078987223119,38.84684890444693,49.62808675710043,54.02071492972146,49.64590947700711,-0.5489550961957409,1.805970109932475,1.5188656236315399,-0.35400011275017335,-0.8234314059856659,0.13021495415796958,1.2672986450543529,0.3327649772541171,0.5565487049100443,0.4316973777787687
1974,X1001,105.2,35.6,12.88016795108975,449.2508358080892,4.11580351225466,4.6884329259075805,8.994814137096048,13.08322113232945,18.10714823570658,20.75065685023277,22.378673026390633,22.064443894352276,18.014521787411084,55.45532119426424,44.610013936495896,63.6893343629052,48.484999790970264,50.11991951657838,47.97712082870551,51.25702746169878,56.96150027466817,56.57329391335545,-0.8984229406095902,1.5236637764785275,-1.0950264574269175,0.07922701409061239,-0.2743965735223526,-1.0489916773184873,-0.07512058797383152,-0.7408137732923984,0.07290724327605223,-0.2729971084775984
1975,X1001,105.2,35.6,13.161234384487747,489.8771747589309,3.4071417593896784,4.672254112243887,8.847938535912066,13.273216869379398,18.23600304805747,23.328905799070487,25.277516728293314,22.874085643493938,17.72232068193879,28.860251154758185,48.941593062214565,44.65022013459393,50.88255261448858,58.34663961893788,56.202720487426646,54.13111712496134,56.426618306321906,53.16961946312685,0.19701893254347608,-3.2310550079193123,-0.26929348975075423,-0.110850721053007,-0.3412617162065858,-0.21794626210294177,0.7033101178067301,-0.5981053313408254,2.200702099217128,-0.18527570875623248
1976,X1001,105.2,35.6,13.310318772088834,430.7477099634451,3.144988929530781,5.241100942983127,8.578073116133652,13.234156740682426,18.533265585470478,22.77395206454742,24.7740705954043,23.090416734836086,17.17745297007129,41.16983040027056,63.9827870907289,56.821439796704496,51.55705252564675,40.247914215003775,47.89730821234279,35.304169805980194,42.34148790564428,45.40882324575307,-0.361639931865213,0.956601931056012,-1.4187259140354525,-0.8654322715151541,-1.3746879710222193,-1.237353212687854,0.12405589644664888,-1.6004405330562717,0.7538687788376367,-0.5581948030935407
1977,X1001,105.2,35.6,12.971273689223569,433.7515333010391,3.229335079621332,4.623940473022296,9.797257461826272,12.815799507841461,18.446529893414827,21.811983783017766,24.203973199163507,23.19500382534994,18.171249640787995,38.45153631501737,52.55337251670096,45.00504492023061,54.49949511612574,26.669680367103524,33.543452590677056,51.82907043257685,66.82389066227886,56.54520227933893,-0.6824509341999805,-1.692052415377956,0.7426862211616183,-0.0805832220429508,0.5907042178943853,0.11529872221079104,0.029642925120495236,2.958625445893176,-0.0061299610455789804,0.2195267777348889
1978,X1001,105.2,35.6,13.041301916298693,426.1420529838391,2.574472542932567,5.833408232070942,8.758298449273614,13.550056080814365,18.268984340149537,23.016490606004634,24.37744559388938,22.070594091540574,16.98011168825554,61.432808458973355,41.26200896555993,34.14309120030782,40.652930999506765,59.99536986788442,33.14698700871922,38.68416496060825,40.68104191023915,34.837218263472394,-1.1843273385116637,-1.5181079752636586,-0.46118741313672207,-0.35490883174008503,-0.6825381542033059,-1.653697838967641,1.2533359468559955,-1.3290788291721605,0.27803371202287097,-0.6280529691240413
1979,X1001,105.2,35.6,12.710093362752449,457.7326746696611,3.4747592468861805,4.008002493450325,7.171120778994748,13.266723218064135,19.210733800123357,22.042648994666397,23.83852889993622,23.3659018504406,18.322137239550063,42.569297736796685,44.26767296744031,56.9704215749659,49.41905259960386,64.0252420330423,43.815764603119206,58.3652852430916,54.285565888099065,49.59481043731044,1.1759107718346071,0.6800715328674297,-1.004967153382104,0.6402186804198472,1.374990631494199,-0.13044468898462372,-0.24865585038497331,-0.6696471476435246,-0.013603885675351006,0.20043032117172294
1980,X1001,105.2,35.6,13.449480274421163,398.2932680168501,2.3723942258313704,5.148880345635622,8.345700291494163,13.868055027447268,18.108128458426123,21.045158798780516,24.170594262630356,23.29538828578589,18.808788765108936,42.801172125885685,62.942072125825874,39.067769042037796,43.630822071604726,43.22570141480108,41.428523713357556,45.67906340755719,49.667120529404514,57.655794592792134,-1.5692561273944634,-0.5103428738061208,-0.4477714253522432,0.937850297361706,-0.3566630610733439,-1.8951755930793188,0.0877304638665764,-0.03368923154093914,0.17975156577131524,-0.40084066502742577
1981,X1001,105.2,35.6,12.793934847608206,499.7613872433801,2.534847020579929,4.643297360813272,8.073927991760877,12.049133244508427,16.815745279809178,21.47928616618328,23.027869376602897,24.439108720588383,16.283140943298754,44.2457375452243,51.514898742472084,62.263955808025486,51.39147421324161,62.28867695707201,45.66100413413902,56.1219543659893,72.96945389715057,45.851599070047456,0.4195676758953945,0.2069275192832601,-2.25153498598787,-0.5889705464706788,1.1311519053059893,0.1350776724846987,-1.2122689628960637,0.6907772729156428,-0.4791229453143527,-0.2164883771982199
